Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",2021-04-04 20:05:14+00:00,Primavera,Hip hop
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",2021-04-04 20:16:58+00:00,Primavera,Hip hop
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']",2021-04-04 20:17:54+00:00,Primavera,Hip hop
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2021-04-04 20:17:54+00:00,Primavera,Hip hop
USHER,23zg3TcAtWQy7J6upgbUnj,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",2021-04-04 20:17:54+00:00,Primavera,Pop
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,"['canadian contemporary r&b', 'canadian hip hop']",2021-04-05 17:32:27+00:00,Primavera,Otros
Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-04-05 17:32:27+00:00,Primavera,Hip hop
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2021-04-05 18:20:14+00:00,Primavera,Hip hop
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",2021-04-05 18:20:14+00:00,Primavera,Hip hop
Van Morrison,44NX2ffIYHr6D4n7RaZF7A,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",2021-04-06 19:50:10+00:00,Primavera,Rock & Indie
Corona,26T6b8maqEVltcmE4kSDUl,"['diva house', 'eurodance', 'europop', 'hip house']",2021-04-06 20:16:48+00:00,Primavera,Otros
Miranda,0DjGDEVSQsodFbL1bMVPRs,"['rap espanol', 'urbano espanol']",2021-04-07 17:49:21+00:00,Primavera,Reggateon
Miranda,0DjGDEVSQsodFbL1bMVPRs,"['rap espanol', 'urbano espanol']",2021-04-07 17:53:45+00:00,Primavera,Reggateon
D3llano,2op8AnWkI11yZAv1KwS9Ck,['rap espanol'],2021-04-07 17:53:45+00:00,Primavera,Otros
Tokio Myers,0vxi8y8ALEjqFrDum0Oc4Z,['uk alternative pop'],2021-04-07 18:04:21+00:00,Primavera,Otros
Sophia,4dI2I5YRyIvaVQksYnx9Zd,['dutch pop'],2021-04-07 18:10:19+00:00,Primavera,Otros
Sophia,4dI2I5YRyIvaVQksYnx9Zd,['dutch pop'],2021-04-07 18:10:46+00:00,Primavera,Otros
The voice of Holland,1YUQBcslZbEeShc171Z5UR,['dutch pop'],2021-04-07 18:10:46+00:00,Primavera,Otros
Edith Whiskers,15K8w0bfYieOr55vhSMgJN,['NA'],2021-04-07 18:17:02+00:00,Primavera,Otros
Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",2021-04-07 18:17:10+00:00,Primavera,Pop
Adriana Proenza,7KHA7OOevgTDFhlym0oEyP,['spanish indie pop'],2021-04-07 18:18:58+00:00,Primavera,Otros
Kina,4qIVPF0s71ZYW3qzhu5GkF,"['sad lo-fi', 'slowed and reverb']",2021-04-07 18:18:58+00:00,Primavera,Otros
